ORDER	ARTIST	ALBUM	TRACK
31347	Artie Traum	Meetings With Remarkable Friends	12 - Early Frost.flac
31347	Ass Ponys	Electric Rock Music	01 - Grim.flac
31347	Ass Ponys	Electric Rock Music	02 - Little Bastard.flac
31347	Ass Ponys	Electric Rock Music	03 - Ape Hanger.flac
31347	Ass Ponys	Electric Rock Music	04 - Place Out There.flac
31347	Ass Ponys	Electric Rock Music	05 - Lake Brenda.flac
31347	Ass Ponys	Electric Rock Music	06 - Wall Eyed Girl.flac
31347	Ass Ponys	Electric Rock Music	07 - Live Until I Die.flac
31347	Ass Ponys	Electric Rock Music	08 - Peanut '93.flac
31347	Ass Ponys	Electric Rock Music	09 - Banlon Shirt.flac
31347	Ass Ponys	Electric Rock Music	10 - Gypped.flac
31347	Ass Ponys	Electric Rock Music	11 - Blushing Bride.flac
31347	Ass Ponys	Electric Rock Music	12 - Earth To Grandma.flac
31347	Ass Ponys	Electric Rock Music	13 - Otter Slide.flac
31347	Beck	Mellow Gold	01 - Loser.flac
31347	Beck	Mellow Gold	02 - Pay No Mind (Snoozer).flac
31347	Beck	Mellow Gold	03 - Fuckin' With My Head (Mountain Dew Rock).flac
31347	Beck	Mellow Gold	04 - Whiskeyclone, Hotel City 1997.flac
31347	Beck	Mellow Gold	05 - Soul Suckin' Jerk.flac
31347	Beck	Mellow Gold	06 - Truckdrivin' Neighbors Downstairs (Yellow Sweat).flac
31347	Beck	Mellow Gold	07 - Sweet Sunshine.flac
31347	Beck	Mellow Gold	08 - Beercan.flac
31347	Beck	Mellow Gold	09 - Steal My Body Home.flac
31347	Beck	Mellow Gold	10 - Nitemare Hippy Girl.flac
31347	Beck	Mellow Gold	11 - Mutherfuker.flac
31347	Beck	Mellow Gold	12 - Blackhole.flac
31347	Beck	Stereopathetic Soulmanure	01 - Pink Noise (Rock Me Amadeus).flac
31347	Beck	Stereopathetic Soulmanure	02 - Rowboat.flac
31347	Beck	Stereopathetic Soulmanure	03 - Thunder Peel.flac
31347	Beck	Stereopathetic Soulmanure	04 - Waitin' For A Train.flac
31347	Beck	Stereopathetic Soulmanure	05 - The Spirit Moves Me.flac
31347	Beck	Stereopathetic Soulmanure	06 - Crystal Clear (Beer).flac
31347	Beck	Stereopathetic Soulmanure	07 - No Money No Honey.flac
31347	Beck	Stereopathetic Soulmanure	08 - 8.6.82.flac
31347	Beck	Stereopathetic Soulmanure	09 - Total Soul Future (Eat It).flac
31347	Beck	Stereopathetic Soulmanure	10 - One Foot In The Grave.flac
31347	Beck	Stereopathetic Soulmanure	11 - Aphid Manure Heist.flac
31347	Beck	Stereopathetic Soulmanure	12 - Today Has Been A Fucked Up Day.flac
31347	Beck	Stereopathetic Soulmanure	13 - Rollins Power Sauce.flac
31347	Beck	Stereopathetic Soulmanure	14 - Puttin It Down.flac
